;ESTACION;PRODUCTO;INICIAL;FINAL;PVP;ESTACION;PAGO;TARIFA
45;18;1;01/08/2025;20/08/2025;1,816;ABRERA;MENSUAL;TARIFA 40
45;70;1;01/08/2025;20/08/2025;1,853;VALDEHERRERA;MENSUAL;TARIFA 40
45;23;1;01/08/2025;20/08/2025;1,853;EL CASAR;MENSUAL;TARIFA 40
45;66;1;01/08/2025;20/08/2025;0,000;MONTE REAL;MENSUAL;TARIFA 40
45;8;1;01/08/2025;20/08/2025;1,816;LA JOYOSA;MENSUAL;TARIFA 40
45;82;1;01/08/2025;20/08/2025;1,821;JUNDIZ NORPETROL;MENSUAL;TARIFA 40
45;16;1;01/08/2025;20/08/2025;1,949;OLIVERAL;MENSUAL;TARIFA 40
45;14;1;01/08/2025;20/08/2025;0,000;Z.FRANCA;MENSUAL;TARIFA 40
45;5;1;01/08/2025;20/08/2025;1,833;GUARROMAN;MENSUAL;TARIFA 40
45;41;1;01/08/2025;20/08/2025;1,840;VALDEPEÑAS;MENSUAL;TARIFA 40
45;64;1;01/08/2025;20/08/2025;1,833;OPEN;MENSUAL;TARIFA 40
45;44;1;01/08/2025;20/08/2025;1,804;TJOIL SEVILLA;MENSUAL;TARIFA 40
45;33;1;01/08/2025;20/08/2025;1,856;BENAVENTE;MENSUAL;TARIFA 40
45;34;1;01/08/2025;20/08/2025;1,827;IRUN ZAISA III;MENSUAL;TARIFA 40
45;91;1;01/08/2025;20/08/2025;1,828;TARRAGONA ;MENSUAL;TARIFA 40
45;53;1;01/08/2025;20/08/2025;1,828;VILAMALLA;MENSUAL;TARIFA 40
45;45;1;01/08/2025;20/08/2025;1,840;LACHAR;MENSUAL;TARIFA 40
45;47;1;01/08/2025;20/08/2025;1,828;LA CAMPANA;MENSUAL;TARIFA 40
45;56;1;01/08/2025;20/08/2025;1,865;AVILESINA;MENSUAL;TARIFA 40
45;61;1;01/08/2025;20/08/2025;1,840;GOR;MENSUAL;TARIFA 40
45;60;1;01/08/2025;20/08/2025;1,816;LLERS;MENSUAL;TARIFA 40
45;65;1;01/08/2025;20/08/2025;1,840;DARRO - A92;MENSUAL;TARIFA 40
45;68;1;01/08/2025;20/08/2025;1,905;MERIDA;MENSUAL;TARIFA 40
45;67;1;01/08/2025;20/08/2025;1,804;SANCTI-SPIRITUS;MENSUAL;TARIFA 40
45;77;1;01/08/2025;20/08/2025;1,804;MURCIA;MENSUAL;TARIFA 40
45;78;1;01/08/2025;20/08/2025;1,804;NORIOIL;MENSUAL;TARIFA 40
45;80;1;01/08/2025;20/08/2025;1,854;SAN VICENTE DEL PALACIO;MENSUAL;TARIFA 40
45;81;1;01/08/2025;20/08/2025;1,866;WATERY ARANDA;MENSUAL;TARIFA 40
45;79;1;01/08/2025;20/08/2025;1,780;BERA ;MENSUAL;TARIFA 40
45;71;1;01/08/2025;20/08/2025;1,833;PUERTO DE BARCELONA;MENSUAL;TARIFA 40
45;86;1;01/08/2025;20/08/2025;1,857;GIRONA-CALSINA;MENSUAL;TARIFA 40
45;89;1;01/08/2025;20/08/2025;1,828;CATARROJA;MENSUAL;TARIFA 40
45;90;1;01/08/2025;20/08/2025;1,828;MANISES - EXOIL;MENSUAL;TARIFA 40
45;93;1;01/08/2025;20/08/2025;1,862;FEGOBLAN PONTEVEDRA;MENSUAL;TARIFA 40
45;94;1;01/08/2025;20/08/2025;1,851;VEGA DE VALCARCE;MENSUAL;TARIFA 40
45;95;1;01/08/2025;20/08/2025;1,861;HOILA TOLEDO;MENSUAL;TARIFA 40
45;97;1;01/08/2025;20/08/2025;1,837;PETREM TRUCKS FIGUERES;MENSUAL;TARIFA 40
39;73;1;01/08/2025;20/08/2025;1,843;TORREJON;MENSUAL;TARIFA 42
39;19;1;01/08/2025;20/08/2025;1,823;ARCOS JALON;MENSUAL;TARIFA 42
39;26;1;01/08/2025;20/08/2025;1,831;ALFAJARIN;MENSUAL;TARIFA 42
39;1;1;01/08/2025;20/08/2025;1,848;TORREMOCHA;MENSUAL;TARIFA 42
39;2;1;01/08/2025;20/08/2025;1,848;MADRID;MENSUAL;TARIFA 42
